"Time [s]","Committed size","Free size","Used size"
775.91,131072000,121321000,9751000
776.92,131072000,121321000,9751000
777.92,131072000,121321000,9751000
778.92,131072000,121321000,9751000
779.92,131072000,121321000,9751000
780.92,131072000,121321000,9751000
781.92,131072000,121321000,9751000
782.93,131072000,121321000,9751000
783.93,131072000,121321000,9751000
784.93,131072000,121321000,9751000
785.93,131072000,121321000,9751000
786.93,131072000,121321000,9751000
787.93,131072000,121321000,9751000
788.93,131072000,121321000,9751000
789.93,131072000,121321000,9751000
790.94,131072000,121321000,9751000
791.94,131072000,121321000,9751000
792.95,131072000,121321000,9751000
793.96,131072000,121321000,9751000
794.96,131072000,121321000,9751000
795.96,131072000,121321000,9751000
796.96,131072000,121321000,9751000
797.96,131072000,121321000,9751000
798.96,131072000,121321000,9751000
799.96,131072000,121321000,9751000
800.98,131072000,121321000,9751000
801.98,131072000,121321000,9751000
802.98,131072000,121321000,9751000
803.98,131072000,121321000,9751000
804.99,131072000,121321000,9751000
805.99,131072000,121321000,9751000
807.0,131072000,121321000,9751000
808.0,131072000,121321000,9751000
809.02,131072000,121321000,9751000
810.02,131072000,121321000,9751000
811.02,131072000,121321000,9751000
812.02,131072000,121321000,9751000
813.03,131072000,121321000,9751000
814.03,131072000,121321000,9751000
815.03,131072000,121321000,9751000
816.04,131072000,121321000,9751000
817.04,131072000,121321000,9751000
818.04,131072000,121321000,9751000
819.05,131072000,121321000,9751000
820.05,131072000,121321000,9751000
821.06,131072000,121321000,9751000
822.06,131072000,121321000,9751000
823.06,131072000,121321000,9751000
824.06,131072000,121321000,9751000
825.07,131072000,121321000,9751000
826.07,131072000,121321000,9751000
827.08,131072000,121321000,9751000
828.09,131072000,121321000,9751000
829.09,131072000,121321000,9751000
830.09,131072000,121321000,9751000
831.09,131072000,121321000,9751000
832.09,131072000,121321000,9751000
833.1,131072000,121321000,9751000
834.1,131072000,121321000,9751000
835.11,131072000,121321000,9751000
836.11,131072000,121321000,9751000
837.11,131072000,121321000,9751000
838.12,131072000,121321000,9751000
839.13,131072000,121321000,9751000
840.13,131072000,121321000,9751000
841.13,131072000,121321000,9751000
842.13,131072000,121321000,9751000
843.13,131072000,121321000,9751000
844.14,131072000,121321000,9751000
845.14,131072000,121321000,9751000
846.14,131072000,121321000,9751000
847.15,131072000,121321000,9751000
848.15,131072000,121321000,9751000
849.15,131072000,121321000,9751000
